laureat_amoa; entreprises
Data Science Student at University of Rouen Innovation And AMOA Engineer from INPT Morocco , 
Software Engineer intern chez SII SERVICES MAROC , 
Ingénieur d'Étude et de Développement , 
Ingénieur synthèse calibrations chez Emitech engineering Africa , 
Innovation and AMOA Engineering Student - INPT , 
Software engineer intern at Avanade , 
Innovation And AMOA Engineering Student at INPT , 
INNOVATION & AMOA Engineering Student / Institut National des Postes et Télécommunications , 
Junior Data Engineer Consultant at @Deloitte , 
DevOps @ Zühlke Group | ☁ 2x AWS Certified ☁Solutions Architect Associate☁ Cloud Practitioner , 
Digital Design Engineer , 
Ingénieur infrastructure IoT at Agroconcept , 
IN/OCS Engineer chez Huawei , 
Artificial intelligence | Machine Learning | NLP , 
Embedded Systems and Digital Services Engineer🎓 - Future graduate in Master M2 Electronics and Connected Objects (CEO) 📱 , 
Senior Network Security Engineer , 
Computer vision enthousiast , 
Ingénierie radio chez LD Expertise , 
Ingénieur systèmes embarqués | PIAmot , 
Ingénieur Soutien chez Maroc Telecom , 
Ingénieur QoS Radio Mobile |Optimisation Radio , 
Professeur assistant chez Faculté des sciences de Rabat , 
Data analyst & artificial intelligence intern @Orange Business Services , 
Consultant & Engineer chez Capgemini , 
AMOA - Business Analyst , 
Ingénieur en systèmes électroniques embarqués. , 
2G/3G/LTE+ RF Planing & Optimization , 
Data Analyst , 
